Invoice ID,Customer,Country,Parts Type,Amount ,Status,Date,Gmail ID
INV-1001,AirTech GmbH,Germany    ,Bearings,£320.50,Paid,05/01/2024,19b989610fb45e7c
INV-1002,SkyParts Ltd,France     ,Sensors,£580.00,Pending,06/01/2024,19b98afb0069f75e
INV-1003,EuroAero BV,Netherlands ,Valves,£910.75,Paid,08/01/2024,19b98b0011f3ab21
INV-1004,Nordic Aviation,Sweden     ,Filters,£240.00,Paid,09/01/2024,
INV-1005,Helix Spares,Spain      ,Actuators,£1.00,Pending,10/01/2024,
INV-1006,AeroFix GmbH,Germany    ,Bearings,£455.20,Paid,12/01/2024,
INV-1007,FlightServe AG,Switzerland ,Sensors,£760.00,Pending,13/01/2024,
INV-1008,SkyParts Ltd,France     ,Valves,£640.00,Paid,15/01/2024,
INV-1009,AirTech GmbH,Germany    ,Filters,£295.00,Paid,18/01/2024,
INV-1010,Nordic Aviation,Sweden     ,Bearings,£380.00,Pending,20/01/2024,
INV-1011        ,AeroLink GmbH,Germany ,Sensors     ,£420.00,Overdue,25/01/2024,
INV-1012,AeroFix GmbH,Germany,Sensors,£450.00,Paid,05/02/2024,
INV-1013,SkyParts Ltd,France,Valves,£820.00,Pending,08/02/2024,
INV-1014,Nordic Aviation,Sweden,Bearings,£600.00,Paid,12/03/2024,
INV-1015,Helix Spares,Spain,Filters,£300.00,Paid,18/03/2024,
